id,question,chapter,rightanswer,wronganswer1,wronganswer2,wronganswer3,wronganswer4,explanation,bookmark,bookinComp,bookTime,rese,wronganswer5
1043,You and a partner respond to a possible terrorist attack in a building. A staging officer states that it is believed that something dangerous was released into the building’s ventilation system. You would expect your patients to have which of the following symptoms at least?,25,Respiratory ailments,Bradycardia,Bacterial infection,A deadly virus,,"Given the information that you currently have, respiratory ailments would be the most likely obvious symptom.",,,,,
1044,"You respond to a scene that is an MCI. Due to local protocols, you are supposed to implement the “START” triage system. Which of the following are the parameters that you should function under?",25,"Respiratory status, perfusion status, and mental status.","Respiratory status, blood pressure, and mental status.","Respiratory status, heart rate, and responsiveness.","Heart rate, mental status, and responsiveness.",,"The START triage system uses the RPM mnemonic for respiratory status, perfusion status, and mental status. ",,,,,
1045,Which of the following is the most commonly used terrorist method? ,25,Conventional explosives; they are the cheapest. ,Radioactive agents; they cause the most damage. ,Biological weapons; they are easy to grow. ,Chemical agents; they are easy to manufacture. ,,Conventional explosives are the most commonly used terrorist method. ,,,,,
1046,"If an EMT arrives on scene of a breached tanker that is leaking an unknown chemical and is producing a vapor cloud, the EMT should assume:",25,The vapor is flammable and toxic,The vapor is flammable,The vapor is toxic,The vapor is lighter than air,,"If a chemical is unknown, an EMT should assume the worst. It could be a toxic or flammable chemical.",,,,,
1047,Which of the following is a list of symptoms associated with a cholinergic crisis such as you might see at a potential terrorist attack?,25,"Salivation, lacrimation, urination, defecation, emesis","Hypertension, bradycardia, vision disturbances","Urination, emesis, hypotension, tachycardia","Emesis, tachycardia, vision disturbances, head ache, hypertension",,"The acronym to remember for a cholinergic crisis is SLUDGE, which stands for; salivation, lacrimation, urinary incontinence, defecation, generalized weakness, and emesis.",,,,,
1048,Which of the following would not limit your exposure to radiation?,25,Type of radiation,Time,Distance,Shielding,,"The type of radiation does not limit your exposure. Time, Distance and Shielding do.",,,,,
1049,Which of the following is not a component of spinal immobilization during a water rescue?,25,Out-of-water spinal immobilization,In-water spinal immobilization,Back boarding and extrication,C-collar application,,"The three phases of spinal immobilization of a water rescue patient are: in-water spinal immobilization, C-collar application, and back boarding and extrication of the patient from the water.",,,,,
1050,The ambulance company you work for has a fleet of type I ambulances. This means that ambulance is?,25, A box-style passenger compartment on a truck chassis, A van chassis with a raised roof in the patient compartment, A hearse, A box-style passenger compartment on a van chassis,,Type I ambulances are a box-style passenger compartment on a truck chassis. Type II ambulances are a van chassis with a raised roof in the patient compartment. Type III ambulances are a box-style passenger compartment on a van chassis.,,,,,
1051,"When performing triage, how would you categorize a patient that can walk, but is breathing at 24 breaths-per-minute and has a radius/ulna fracture?",25, Green, Yellow, Red, Black,,"The key to answering this question is knowing that every patient who can walk, no matter the injury, is categorized as green (minor). When performing triage, you're assessing for breathing rate, capillary refill, and the ability to follow commands (30-2-Can Do).",,,,,
1052,Terminating care of the patient without making sure that care will continue at an equally or greater level is the definition of?,25, Abandonment, Negligence, Homicide, Battery,,A form of abandonment is when care is terminated without first ensuring that an equal level of care or greater will be maintained.,,,,,
1053,"When assessing a trauma patient, which finding will determine whether the patient is in need of an air ambulance to a trauma center?",25, Multi-Systems Trauma, Amputations, Large Burn Surface Area, Airway compromise,,"Community hospitals may be able to accommodate traumas to one body system per patient. For a trauma patient experiencing trauma involving more than one organ system, a Level 1 facility is most appropriate. ",,,,,
